IT10;100002;0,00;0,00
IT10;100003;1654,28;-20,00
IT10;100014;699932,92;0,00
IT10;100016;-15353799,80;-218121,26
IT10;100022;0,00;0,00
IT10;100023;0,00;0,00
IT10;100031;10667,24;0,00
IT10;100047;-6469385,85;-32,58
IT10;100055;0,00;0,00
IT10;100061;437946,15;-450517,27
IT10;100075;0,00;0,00
IT10;100099;0,00;0,00
IT10;100105;51848,89;638,66
IT10;100106;0,00;0,00
IT10;100110;866999,05;-1532,53
IT10;100125;-776693,81;-47262,93
IT10;100126;0,00;0,00
IT10;100143;0,00;0,00
IT10;100151;14401,18;-677,95
IT10;100154;271,26;0,00
IT10;100157;0,00;0,00
IT10;100162;0,00;0,00
IT10;100171;0,00;0,00
IT10;100178;23236,36;0,00
IT10;100189;0,27;0,00
IT10;100200;177,24;0,00
IT10;100202;-558,67;-1559,45
IT10;100216;-32727,98;0,00
IT10;100217;0,00;0,00
IT10;100220;1266,84;0,00
IT10;100222;3,50;0,00
IT10;100233;0,00;0,00
IT10;100243;0,00;0,00
IT10;100251;0,00;0,00
IT10;100255;0,00;0,00
IT10;100263;1178,90;0,00
IT10;100275;0,00;0,00
IT10;100288;14635,89;-2543,24
IT10;100294;0,00;0,00
IT10;100311;9220,46;0,00
IT10;100318;29844,35;0,00
IT10;100343;0,00;0,00
IT10;100356;-10077,52;0,00
IT10;100357;50154,34;-60446,74
IT10;100364;11205,06;0,00
IT10;100403;-1021440,56;-413144,97
IT10;100404;25153,37;-24303,74
IT10;100405;0,00;0,00
IT10;100406;49850,74;-28812,95
IT10;100417;-1588238,47;-114315,36
IT10;100424;8194,81;-1582,34
IT10;100426;-43652,15;-680,81
IT10;100438;-697,61;0,00
IT10;100448;-12819,59;0,00
IT10;100449;6606,00;0,00
IT10;100452;510908,14;-500155,64
IT10;100468;-1935,99;312,22
IT10;100510;185846,31;0,00
IT10;100528;0,00;0,00
IT10;100551;10237,55;0,00
IT10;100554;0,00;0,00
IT10;100559;461,07;0,00
IT10;100574;0,00;0,00
IT10;100579;0,00;0,00
IT10;100586;35985,91;0,00
IT10;100592;0,00;0,00
IT10;100595;0,00;0,00
IT10;100601;0,00;0,00
IT10;100602;0,00;0,00
IT10;100613;0,00;0,00
IT10;100621;-17804,83;0,00
IT10;100634;-10072,55;-29,91
IT10;100644;379,66;-311,20
IT10;100655;694,41;0,00
IT10;100664;0,00;0,00
IT10;100676;0,00;0,00
IT10;100687;-2788,44;0,00
IT10;100689;-29948,90;0,00
IT10;100690;31987,35;-3502,66
IT10;100698;0,00;0,00
IT10;100705;1,68;0,00
IT10;100713;-598535,16;0,00
IT10;100716;707,94;0,00
IT10;100725;0,00;0,00
IT10;100732;-10,42;0,00
IT10;100739;0,00;0,00
IT10;100742;0,00;0,00
IT10;100749;0,00;0,00
IT10;100757;0,00;0,00
IT10;100769;0,00;0,00
IT10;100778;4,17;0,00
IT10;100781;0,00;0,00
IT10;100784;5948,00;0,00
IT10;100802;0,00;334,58
IT10;100808;149144,10;0,00
IT10;100812;72,53;0,00
IT10;100814;70300,02;0,00
IT10;100816;0,00;0,00
IT10;100817;-1,26;0,00
IT10;100828;-28040,93;-3065,05
IT10;100841;-3238,51;0,00
IT10;100879;0,00;0,00
IT10;100885;959,79;1478,72
IT10;100890;0,00;0,00
IT10;100904;-0,19;0,00
IT10;100918;1105,81;0,00
